113,112,similarity
hr1333.113,hr2346.112,0.512826576
hr1333.113,hr3028.112,0.502569319
hr1333.113,hr319.112,0.701315386
hr1333.113,hr616.112,0.631903695
hr1333.113,hr6188.112,0.85608621
hr1333.113,hr6673.112,0.599213924
hr1334.113,hr2902.112,0.798634866
hr1334.113,hr6447.112,0.642453436
hr1335.113,hr3164.112,0.829533965
hr1336.113,hr1541.112,0.531014473
hr1336.113,hr2214.112,0.647517675
hr1336.113,hr3099.112,0.654046395
hr1336.113,hr6410.112,0.63821508
hr1337.113,hr2457.112,0.632105569
hr1338.113,hr6310.112,0.722948893
hr1339.113,hr6155.112,0.82752196
hr1339.113,hr6157.112,0.522831728
hr1342.113,hr2010.112,0.536246087
hr1342.113,hr5858.112,0.515546723
hr1342.113,hr6137.112,0.708879624
hr1343.113,hr2228.112,0.52268354
hr1343.113,hr2247.112,0.610137561
hr1343.113,hr2253.112,0.582068468
hr1343.113,hr3373.112,0.541973059
hr1343.113,hr4366.112,0.85625518
hr1343.113,hr6325.112,0.559838236
hr1343.113,hr6517.112,0.594195192
hr1345.113,hr1485.112,0.709070479
hr1345.113,hr5744.112,0.667677724
hr1345.113,hr6089.112,0.515427717
hr1346.113,hr42.112,0.531705844
hr1346.113,hr5901.112,0.712986836
hr1346.113,hr6076.112,0.508004531
hr1346.113,hr6211.112,0.615185522
hr1346.113,hr631.112,0.558612046
hr1347.113,hr3560.112,0.753180755
hr1348.113,hr1545.112,0.515776206
hr1348.113,hr2621.112,0.655754502
hr1348.113,hr2865.112,0.503134202
hr1348.113,hr4334.112,0.580318399
hr1349.113,hr2037.112,0.812319571
hr1349.113,hr2378.112,0.622999844
hr1349.113,hr2448.112,0.695518614
hr1349.113,hr4099.112,0.678656742
hr1349.113,hr4148.112,0.664087767
hr1349.113,hr486.112,0.608059158
hr135.113,hr433.112,0.765466062
hr1350.113,hr855.112,0.69834633
hr1351.113,hr587.112,0.768362873
hr1353.113,hr2228.112,0.503162745
hr1353.113,hr3373.112,0.559436285
hr1353.113,hr6325.112,0.8075385
hr1353.113,hr6517.112,0.574968752
hr1354.113,hr3341.112,0.669953014
hr1354.113,hr3855.112,0.635020716
hr1354.113,hr5741.112,0.712321113
hr1354.113,hr959.112,0.553042507
hr1355.113,hr6518.112,0.647687819
hr1355.113,hr6567.112,0.648180458
hr1356.113,hr4062.112,0.523032762
hr1357.113,hr6577.112,0.630734925
hr1358.113,hr4483.112,0.648526773
hr1358.113,hr889.112,0.632712374
hr136.113,hr4353.112,0.584366231
hr1360.113,hr493.112,0.676667088
hr1362.113,hr327.112,0.722742042
hr1363.113,hr2171.112,0.782270466
hr1364.113,hr1380.112,0.802215783
hr1364.113,hr1875.112,0.501341592
hr1365.113,hr2185.112,0.724632979
hr1366.113,hr1316.112,0.728984666
hr1367.113,hr1971.112,0.565358715
hr1367.113,hr979.112,0.850006398
hr1368.113,hr2331.112,0.806909359
hr1368.113,hr3469.112,0.56422899
hr1368.113,hr555.112,0.756007653
hr137.113,hr1781.112,0.783917715
hr137.113,hr6725.112,0.681100507
hr1370.113,hr1120.112,0.86196642
hr1370.113,hr3241.112,0.568558527
hr1372.113,hr2052.112,0.541670579
hr1372.113,hr6534.112,0.728100895
hr1373.113,hr1579.112,0.671335129
hr1373.113,hr3697.112,0.640963487
hr1374.113,hr539.112,0.512653115
hr1375.113,hr2172.112,0.757442274
hr1376.113,hr2896.112,0.702063207
hr1377.113,hr1461.112,0.815584522
hr1378.113,hr6166.112,0.562482852
hr1379.113,hr1273.112,0.518802937
hr138.113,hr308.112,0.798159037
hr1380.113,hr1974.112,0.767436433
hr1381.113,hr485.112,0.56593962
hr1382.113,hr6475.112,0.837672172
hr1384.113,hr2236.112,0.808042682
hr1385.113,hr2359.112,0.735422843
hr1385.113,hr4262.112,0.544147921
hr1385.113,hr4395.112,0.628081496
hr1386.113,hr1342.112,0.513050471
hr1386.113,hr3989.112,0.521002518
hr1386.113,hr3990.112,0.526721157
hr1386.113,hr472.112,0.55029898
hr1386.113,hr5546.112,0.501967682
hr1388.113,hr4968.112,0.511765639
hr1389.113,hr2085.112,0.597034984
hr139.113,hr139.112,0.901684339
hr1390.113,hr1656.112,0.783577985
hr1392.113,hr5983.112,0.735864852
hr1393.113,hr5985.112,0.717466452
hr1394.113,hr4381.112,0.851958614
hr1394.113,hr4480.112,0.547274022
hr1397.113,hr3502.112,0.698688472
hr1398.113,hr2172.112,0.573507305
hr1398.113,hr2173.112,0.82138297
hr1398.113,hr3882.112,0.605638604
hr140.113,hr140.112,0.553311262
hr1401.113,hr354.112,0.63496909
hr1403.113,hr6624.112,0.88293643
hr1405.113,hr5948.112,0.759826372
hr1407.113,hr147.112,0.501026059
hr1407.113,hr1483.112,0.559086239
hr1407.113,hr5651.112,0.606676285
hr1407.113,hr6160.112,0.52112442
hr1408.113,hr3988.112,0.537634163
hr1408.113,hr5651.112,0.588636612
hr1409.113,hr2987.112,0.656937339
hr1409.113,hr4041.112,0.670580753
hr141.113,hr591.112,0.787006285
hr1411.113,hr2621.112,0.554950069
hr1411.113,hr4334.112,0.590152193
hr1411.113,hr4969.112,0.678573864
hr1414.113,hr3286.112,0.63328199
hr1414.113,hr6083.112,0.502170159
hr1415.113,hr133.112,0.718484897
hr1415.113,hr1732.112,0.673547245
hr1417.113,hr1299.112,0.574371909
hr1417.113,hr2000.112,0.512743957
hr1417.113,hr3116.112,0.511690248
hr1419.113,hr3837.112,0.72950403
hr142.113,hr6241.112,0.820375077
hr1421.113,hr6081.112,0.827438557
hr1422.113,hr6564.112,0.848342464
hr1424.113,hr724.112,0.719637338
hr1425.113,hr1171.112,0.606059546
hr1425.113,hr6251.112,0.799906335
hr1426.113,hr1689.112,0.586756174
hr1427.113,hr1200.112,0.501166831
hr1427.113,hr1409.112,0.521959152
hr1427.113,hr451.112,0.81806187
hr1428.113,hr2969.112,0.658158348
hr1429.113,hr1672.112,0.774347578
hr143.113,hr1168.112,0.742539439
hr1433.113,hr1964.112,0.523353143
hr1433.113,hr2663.112,0.579722817
hr1434.113,hr845.112,0.550013183
hr1435.113,hr3133.112,0.707257989
hr1436.113,hr1716.112,0.895985654
hr1437.113,hr1199.112,0.539790729
hr1437.113,hr3250.112,0.769359425
hr1438.113,hr923.112,0.81587327
hr1439.113,hr846.112,0.660230987
hr144.113,hr162.112,0.862427917
hr1440.113,hr3057.112,0.80872011
hr1440.113,hr5708.112,0.51876142
hr1440.113,hr6642.112,0.50371926
hr1440.113,hr6656.112,0.583074046
hr1441.113,hr1331.112,0.600679442
hr1442.113,hr5960.112,0.717692098
hr1443.113,hr4327.112,0.762104471
hr1444.113,hr1720.112,0.698611868
hr1444.113,hr3024.112,0.580426367
hr1444.113,hr3232.112,0.760295412
hr1446.113,hr1641.112,0.862740772
hr1447.113,hr2189.112,0.73856473
hr1449.113,hr1327.112,0.761870078
hr145.113,hr163.112,0.797088238
hr145.113,hr3377.112,0.586560841
hr145.113,hr41.112,0.520961227
hr145.113,hr4267.112,0.544260183
hr1450.113,hr4963.112,0.655561422
hr1452.113,hr210.112,0.629541718
hr1454.113,hr4948.112,0.690335594
hr1454.113,hr6228.112,0.628334072
hr1454.113,hr6233.112,0.715961506
